TOWNID,GEOID20,TOWN,COUNTY_NUM,COUNTY_NAME,MASSDOT_DISTRICT,RPA,MPO,MPO_SUBREGION,RTA,MBTA,MBTA_MFZONING,MAPC_COMM_TYPE,MAPC_COMM_SUBTYPE
1,2502300170,Abington,023,Plymouth,5,OCPC,Old Colony,Old Colony: Higher Population,BAT,Extended,Commuter Rail,Developing Suburbs,DS: Maturing New England Towns
2,2501700380,Acton,017,Middlesex,3,MAPC,Boston Region,Boston Region: MAGIC,LRTA,Extended,Commuter Rail,Maturing Suburbs,MS: Established Suburbs and Cape Cod Towns
3,2500500520,Acushnet,005,Bristol,5,SRPEDD,Southeast Mass,Southeast Mass: Bristol,SRTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns
4,2500300555,Adams,003,Berkshire,1,BCRPC,Berkshire,Berkshire: North,BRTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns
5,2501300840,Agawam,013,Hampden,2,PVPC,Pioneer Valley,Pioneer Valley: 2,PVTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns
6,2500300975,Alford,003,Berkshire,1,BCRPC,Berkshire,Berkshire: Southwest,BRTA,Not MBTA,NA,Rural Towns,Rural Towns
7,2500901260,Amesbury,009,Essex,4,MVPC,Merrimack Valley,Merrimack Valley: 1,MVRTA,Extended,Adjacent community,Regional Urban Centers,RUC: Sub-RUC
8,2501501370,Amherst,015,Hampshire,2,PVPC,Pioneer Valley,Pioneer Valley: 3,PVTA,Not MBTA,NA,Regional Urban Centers,RUC: Sub-RUC
9,2500901465,Andover,009,Essex,4,MVPC,Merrimack Valley,Merrimack Valley: 4,MVRTA,Extended,Commuter Rail,Developing Suburbs,DS: Maturing New England Towns
10,2501701605,Arlington,017,Middlesex,4,MAPC,Boston Region,Boston Region: ICC,None (MBTA),Core (14),Adjacent community,Inner Core,IC: Streetcar Suburbs
11,2502701885,Ashburnham,027,Worcester,3,MRPC,Montachusett,Montachusett: 2,MART,Extended,Adjacent small town,Developing Suburbs,DS: Country Suburbs
