TOWNID,GEOID,TOWN,COUNTY_NUM,COUNTY_NAME,MASSDOT_DISTRICT,EMS_REGION,RPA,MPO,MPO_SUBREGION,RTA,MBTA,MBTA_MFZONING,MAPC_COMM_TYPE,MAPC_COMM_SUBTYPE,GATEWAY_CITY,Changed_GEOID
7,2500901185,Amesbury,,Essex,4,3,MVPC,Merrimack Valley,Merrimack Valley: 1,MeVa,Extended,Adjacent community,Regional Urban Centers,RUC: Sub-RUC,No,2020-2024 ACS
87,2501519365,Easthampton,,Hampshire,2,1,PVPC,Pioneer Valley,Pioneer Valley: 3,PVTA,Not MBTA,NA,Regional Urban Centers,RUC: Sub-RUC,No,2020-2024 ACS
16,2500502690,Attleboro,,Bristol,5,5,SRPEDD,Southeast Mass,Southeast Mass: Attleboro,GATRA,Extended,Commuter Rail,Regional Urban Centers,RUC: Sub-RUC,Gateway,NA
314,2501773405,Watertown,,Middlesex,6,4,MAPC,Boston Region,Boston Region: ICC,None (MBTA),Core (14),Adjacent community,Inner Core,IC: Streetcar Suburbs,No,2020-2024 ACS
1,2502300170,Abington,,Plymouth,5,5,OCPC,Old Colony,Old Colony: Higher Population,BAT,Extended,Commuter Rail,Developing Suburbs,DS: Maturing New England Towns,No,NA
2,2501700380,Acton,,Middlesex,3,4,MAPC,Boston Region,Boston Region: MAGIC,LRTA,Extended,Commuter Rail,Maturing Suburbs,MS: Established Suburbs and Cape Cod Towns,No,NA
3,2500500520,Acushnet,,Bristol,5,5,SRPEDD,Southeast Mass,Southeast Mass: Bristol,SRTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns,No,NA
4,2500300555,Adams,,Berkshire,1,1,BCRPC,Berkshire,Berkshire: North,BRTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns,No,NA
5,2501300840,Agawam,,Hampden,2,1,PVPC,Pioneer Valley,Pioneer Valley: 2,PVTA,Not MBTA,NA,Developing Suburbs,DS: Maturing New England Towns,No,NA
6,2500300975,Alford,,Berkshire,1,1,BCRPC,Berkshire,Berkshire: Southwest,BRTA,Not MBTA,NA,Rural Towns,Rural Towns,No,NA
7,2500901260,Amesbury,,Essex,4,3,MVPC,Merrimack Valley,Merrimack Valley: 1,MeVa,Extended,Adjacent community,Regional Urban Centers,RUC: Sub-RUC,No,NA
